ID,material_ID,parametro_ID,valorMinimo,valorMaximo,esObligatorio
00000000-0000-0000-0000-000000000401,00000000-0000-0000-0000-000000000101,00000000-0000-0000-0000-000000000301,3.200,3.400,true
00000000-0000-0000-0000-000000000402,00000000-0000-0000-0000-000000000101,00000000-0000-0000-0000-000000000302,0.800,1.000,true
00000000-0000-0000-0000-000000000403,00000000-0000-0000-0000-000000000101,00000000-0000-0000-0000-000000000303,95.000,105.000,true
00000000-0000-0000-0000-000000000404,00000000-0000-0000-0000-000000000101,00000000-0000-0000-0000-000000000304,3.500,5.500,true
00000000-0000-0000-0000-000000000405,00000000-0000-0000-0000-000000000101,00000000-0000-0000-0000-000000000305,1.500,2.000,true
00000000-0000-0000-0000-000000000406,00000000-0000-0000-0000-000000000101,00000000-0000-0000-0000-000000000306,,,true
00000000-0000-0000-0000-000000000407,00000000-0000-0000-0000-000000000102,00000000-0000-0000-0000-000000000301,4.100,4.300,true
00000000-0000-0000-0000-000000000408,00000000-0000-0000-0000-000000000102,00000000-0000-0000-0000-000000000302,1.000,1.200,true
00000000-0000-0000-0000-000000000409,00000000-0000-0000-0000-000000000102,00000000-0000-0000-0000-000000000304,2.800,4.200,true
00000000-0000-0000-0000-000000000410,00000000-0000-0000-0000-000000000103,00000000-0000-0000-0000-000000000306,,,true
00000000-0000-0000-0000-000000000411,00000000-0000-0000-0000-000000000103,00000000-0000-0000-0000-000000000307,,,true
